Left_B,Front_B,Right_B,Cosine_Angle,Collision,Head_x,Head_y,Food_x,Food_y,Sugg_Direction
0,0,0,71.57,1,140,60,200,240,1
0,0,0,77.47,1,160,60,200,240,1
0,0,0,83.66,1,180,60,200,240,1
0,0,0,90,1,200,60,200,240,1
0,0,0,96.34,0,220,60,200,240,1
0,0,0,7.13,1,220,80,200,240,4
0,0,0,8.13,1,220,100,200,240,4
0,0,0,9.46,1,220,120,200,240,4
0,0,0,11.31,1,220,140,200,240,4
0,0,0,14.04,1,220,160,200,240,4
0,0,0,90,1,200,160,200,240,2
0,0,0,0,1,200,180,200,240,4
0,0,0,0,1,200,200,200,240,4
0,0,0,0,1,200,220,200,240,4
0,0,0,0,1,200,240,200,240,4
0,0,0,108.43,0,200,260,140,240,4
0,0,0,123.69,0,200,280,140,240,4
0,0,0,45,1,180,280,140,240,2
0,0,0,63.43,1,160,280,140,240,2
0,0,0,90,1,140,280,140,240,2
0,0,0,0,1,140,260,140,240,3
0,0,0,0,1,140,240,140,240,3
0,0,0,32.01,1,140,220,40,60,3
0,0,0,35.54,1,140,200,40,60,3
0,0,0,39.81,1,140,180,40,60,3
0,0,0,45,1,140,160,40,60,3
0,0,0,51.34,1,140,140,40,60,3
0,0,0,59.04,1,140,120,40,60,3
0,0,0,68.2,1,140,100,40,60,3
0,0,0,78.69,1,140,80,40,60,3
0,0,0,90,1,140,60,40,60,3
0,0,0,0,1,120,60,40,60,2
0,0,0,0,1,100,60,40,60,2
0,0,0,0,1,80,60,40,60,2
0,0,0,0,1,60,60,40,60,2
0,0,0,0,1,40,60,40,60,2
0,0,0,161.57,0,20,60,380,180,2
0,0,0,74.48,1,20,80,380,180,4
0,0,0,77.47,1,20,100,380,180,4
0,0,0,80.54,1,20,120,380,180,4
0,0,0,83.66,1,20,140,380,180,4
0,0,0,86.82,1,20,160,380,180,4
0,0,0,90,1,20,180,380,180,4
0,0,0,0,1,40,180,380,180,1
0,0,0,0,1,60,180,380,180,1
0,0,0,0,1,80,180,380,180,1
0,0,0,0,1,100,180,380,180,1
0,0,0,0,1,120,180,380,180,1
0,0,0,0,1,140,180,380,180,1
0,0,0,0,1,160,180,380,180,1
0,0,0,0,1,180,180,380,180,1
0,0,0,0,1,200,180,380,180,1
0,0,0,0,1,220,180,380,180,1
