Left_B,Front_B,Right_B,Cosine_Angle,Collision,Head_x,Head_y,Food_x,Food_y,Sugg_Direction
0,0,0,135,0,140,60,120,80,1
0,0,0,153.43,0,160,60,120,80,1
0,0,0,161.57,0,180,60,120,80,1
0,0,0,165.96,0,200,60,120,80,1
0,0,0,168.69,0,220,60,120,80,1
0,0,0,90,1,220,80,120,80,4
0,0,0,101.31,0,220,100,120,80,4
0,0,0,14.04,1,200,100,120,80,2
0,0,0,18.43,1,180,100,120,80,2
0,0,0,26.57,1,160,100,120,80,2
0,0,0,45,1,140,100,120,80,2
0,0,0,90,1,120,100,120,80,2
0,0,0,0,1,120,80,120,80,3
0,0,0,147.53,0,120,60,260,280,3
0,0,0,149.74,0,120,40,260,280,3
0,0,0,63.43,1,140,40,260,280,1
0,0,0,67.38,1,160,40,260,280,1
0,0,0,71.57,1,180,40,260,280,1
0,0,0,19.98,1,180,60,260,280,4
0,0,0,21.8,1,180,80,260,280,4
0,0,0,23.96,1,180,100,260,280,4
0,0,0,71.57,1,200,100,260,280,1
0,0,0,77.47,1,220,100,260,280,1
0,0,0,14.04,1,220,120,260,280,4
0,0,0,15.95,1,220,140,260,280,4
0,0,0,18.43,1,220,160,260,280,4
0,0,0,80.54,1,240,160,260,280,1
0,0,0,90,1,260,160,260,280,1
0,0,0,0,1,260,180,260,280,4
0,0,0,0,1,260,200,260,280,4
0,0,0,0,1,260,220,260,280,4
0,0,0,0,1,260,240,260,280,4
0,0,0,0,1,260,260,260,280,4
0,0,0,0,1,260,280,260,280,4
0,0,0,171.87,0,260,300,280,160,4
0,0,0,105.95,0,240,300,280,160,2
0,0,0,113.2,0,220,300,280,160,2
0,0,0,26.57,1,220,280,280,160,3
0,0,0,30.96,1,220,260,280,160,3
0,0,0,68.2,1,240,260,280,160,1
0,0,0,78.69,1,260,260,280,160,1
0,0,0,14.04,1,260,240,280,160,3
0,0,0,18.43,1,260,220,280,160,3
0,0,0,26.57,1,260,200,280,160,3
0,0,0,90,1,280,200,280,160,1
0,0,0,0,1,280,180,280,160,3
0,0,0,0,1,280,160,280,160,3
0,0,0,0,1,280,140,280,140,3
0,0,0,180,0,280,120,280,180,3
0,0,0,180,0,280,100,280,180,3
0,0,0,180,0,280,80,280,180,3
0,0,0,101.31,0,260,80,280,180,2
0,0,0,111.8,0,240,80,280,180,2
0,0,0,26.57,1,240,100,280,180,4
0,0,0,33.69,1,240,120,280,180,4
0,0,0,71.57,1,260,120,280,180,1
0,0,0,90,1,280,120,280,180,1
0,0,0,0,1,280,140,280,180,4
