Left_B,Front_B,Right_B,Cosine_Angle,Collision,Head_x,Head_y,Food_x,Food_y,Sugg_Direction
0,0,0,29.74,1,140,60,280,140,1
0,0,0,33.69,1,160,60,280,140,1
0,0,0,38.66,1,180,60,280,140,1
0,0,0,59.04,1,180,80,280,140,4
0,0,0,68.2,1,180,100,280,140,4
0,0,0,78.69,1,180,120,280,140,4
0,0,0,90.0,1,180,140,280,140,4
0,0,0,101.31,0,180,160,280,140,4
0,0,0,14.04,1,200,160,280,140,1
0,0,0,18.43,1,220,160,280,140,1
0,0,0,26.57,1,240,160,280,140,1
0,0,0,45.0,1,260,160,280,140,1
0,0,0,90.0,1,280,160,280,140,1
0,0,0,135.0,0,300,160,280,140,1
0,0,0,90.0,1,300,140,280,140,3
0,0,0,135.0,0,300,120,280,140,3
0,0,0,153.43,0,300,100,280,140,3
0,0,0,161.57,0,300,80,280,140,3
0,0,0,165.96,0,300,60,280,140,3
0,0,0,90.0,1,280,60,280,140,2
0,0,0,104.04,0,260,60,280,140,2
0,0,0,18.43,1,260,80,280,140,4
0,0,0,26.57,1,260,100,280,140,4
0,0,0,45.0,1,260,120,280,140,4
0,0,0,90.0,1,260,140,280,140,4
0,0,0,0.0,1,280,140,280,140,1
0,0,0,26.57,1,300,140,380,180,1
0,0,0,24.44,1,140,60,360,160,1
0,0,0,26.57,1,160,60,360,160,1
0,0,0,29.05,1,180,60,360,160,1
0,0,0,32.01,1,200,60,360,160,1
0,0,0,35.54,1,220,60,360,160,1
0,0,0,39.81,1,240,60,360,160,1
0,0,0,45.0,1,260,60,360,160,1
0,0,0,51.34,1,280,60,360,160,1
0,0,0,59.04,1,300,60,360,160,1
0,0,0,68.2,1,320,60,360,160,1
0,0,0,78.69,1,340,60,360,160,1
0,0,0,90.0,1,360,60,360,160,1
0,1,0,101.31,0,380,60,360,160,1
0,0,0,111.8,-1,400,60,360,160,1
0,0,0,24.44,1,140,60,360,160,1
0,0,0,26.57,1,160,60,360,160,1
0,0,0,29.05,1,180,60,360,160,1
0,0,0,32.01,1,200,60,360,160,1
0,0,0,35.54,1,220,60,360,160,1
0,0,0,39.81,1,240,60,360,160,1
0,0,0,45.0,1,260,60,360,160,1
0,0,0,51.34,1,280,60,360,160,1
0,0,0,45.0,1,280,80,360,160,4
0,0,0,53.13,1,280,100,360,160,4
0,0,0,63.43,1,280,120,360,160,4
0,0,0,75.96,1,280,140,360,160,4
0,0,0,90.0,1,280,160,360,160,4
0,0,0,104.04,0,280,180,360,160,4
0,0,0,18.43,1,300,180,360,160,1
0,0,0,90.0,1,300,160,360,160,3
0,0,0,108.43,0,300,140,360,160,3
0,0,0,123.69,0,300,120,360,160,3
0,0,0,135.0,0,300,100,360,160,3
0,0,0,143.13,0,300,80,360,160,3
0,0,0,63.43,1,320,80,360,160,1
0,0,0,75.96,1,340,80,360,160,1
0,0,0,90.0,1,140,60,140,120,1
0,0,0,108.43,0,160,60,140,120,1
0,0,0,123.69,0,180,60,140,120,1
0,0,0,135.0,0,200,60,140,120,1
